text;,sentimiento
RT @WilsonP81684382 En esta mesa en Boston se puede ver que hay fraude Modificaron la votación de Duque con la raya central;,-1
Los seguidores de @Caidadelatorre  acérrimos defensores de las propuestas populistas y subsidiarias de… https://t.co/4QjV7wUcW;,-1
"17.708 votos para el mejor ídolo @mariobautista_ �";, 1
 @IvanDuque @NestorMoralesC @petrogustavo Jajajja me hizo el dia;,-1
RT @PizarroMariaJo: Bases del Partido Liberales se adhieren a la campaña #PetroPresidente Hacen un llamado a los demócratas de todos los…;, 1
Libertad condicional? es que en serio hay personas cínicas y él. https://t.co/AVdtwiZ3ow;,-1
"RT @ErikaSalamanca: Chávez amaba tanto a los pobres que los multiplicó. Y Petro hará lo mismo. Cuidado Colombia #NiSocialismoNiContinui�";,-1
RT@SANTAMARIAURIBE:Acuérdenseque.@petrogustavo ha dicho insistentemente que quiere manejarnuestos ahorros pensiónales.Eso ya pasóen…;,-1
 Algún día (?) Jajajaja Es por responder unas varias preguntas viejo Vera.;,-1
RT @Danielamadrid07: @petrogustavo #PetroEnPrimeraVuelta vamos por una Colombia más humana 🇨🇴❤;, 1
RT @guillelombana: @argiro1961 @AlvaroUribeVel @IvanDuque @herbinhoyos @mluciaramirez @elmonitosanchez @GustavoRugeles @HassNassar @CGurisa…;, 1
RT @andval001: El propietario de la empresa Jaramillo Mora continua su intimidación a sus cientos de trabajadores les asegura que si @petr…;, -1
"17.709 votos para el mejor ídolo @mariobautista_ 💕
#MTVLAINSTAMXMARIOB
#PremiosMTVMiaw,0.5";, 1
 @petrogustavo @VocesRCN Siiiiiiiiii como nooooooo;,-1
RT @cmbustamante: El sr @petrogustavo escupió para arriba y le cayó en la cara. Tanto que ha difamado de los hijos de Uribe y nunca nadie…;,-1
RT @rudolph_s_a: Los que vamos a votar por @petrogustavo no somos de extrema izquierda. Somos de extrema indignación por estos 200 años de…;, 1
 @IvanDuque @petrogustavo Que raro porque en Cali andan en Volvo!!! https://t.co/buteDb8xHD;,-1
Se llama Franco Armani es argentino...... 🎶 https://t.co/MdJ3aEHonE;, 1
"RT @cmbustamante: La difícil tarea de hablar con @petrogustavo 
Señores @elcolombiano Basta con oír algunas intervenciones del candidato en…";,-1
